"","coord1D","coord2D"
"816",0.938833057880402,-0.170155763626099
"817",0.602451205253601,-0.108351111412048
"818",0.93353670835495,0.0174151621758938
"819",0.594980895519257,-0.0622556880116463
"820",0.60193932056427,-0.0858429819345474
"821",0.885527372360229,0.114671565592289
"822",0.57090300321579,-0.137771040201187
"824",0.636942803859711,-0.137994423508644
"825",-0.668271839618683,-0.247403785586357
"826",-0.193952545523643,-0.544570803642273
"827",-0.972769021987915,-0.23177644610405
"828",-0.753704845905304,-0.439007490873337
"829",-0.596906721591949,0.0824267864227295
"830",-0.529043138027191,0.117010071873665
"831",-0.681192994117737,-0.495378375053406
"832",0.18801037967205,-0.281409353017807
"833",-0.871668696403503,0.0249524787068367
"834",-0.944767236709595,-0.234236091375351
"835",-0.207944974303246,0.0558373816311359
"836",-0.51906830072403,0.0646161660552025
"837",-0.965737998485565,0.259519010782242
"838",-0.719789683818817,-0.395341813564301
"839",-0.267030119895935,-0.145049288868904
"840",-0.00749416835606098,-0.174647256731987
"841",-0.745410442352295,-0.362418740987778
"842",-0.469925194978714,0.108412593603134
"843",-0.451893150806427,-0.0328591018915176
"844",-0.680322289466858,-0.0130207426846027
"845",0.575535178184509,-0.0527949519455433
"849",-0.89755916595459,0.4408940076828
"850",-0.843448579311371,0.537209868431091
"851",-0.890924692153931,0.454151064157486
"854",0.571065008640289,0.0206749327480793
"855",-0.692108631134033,0.449665695428848
"856",0.604225039482117,-0.164507701992989
"857",-0.00706441188231111,0.0833505019545555
"858",0.694072246551514,-0.176818713545799
"859",0.803308606147766,-0.0900908634066582
"860",0.687943875789642,0.060737494379282
"861",0.854895532131195,-0.486175924539566
"863",0.520966053009033,0.12895593047142
"865",0.549855887889862,-0.158563852310181
"866",0.619488596916199,0.0693436488509178
"867",0.708188116550446,0.706023812294006
"868",-0.358147859573364,-0.164801314473152
"869",0.531522452831268,0.263909310102463
"870",0.608197271823883,0.337190002202988
"871",0.519905626773834,0.0500963665544987
"872",0.761808812618256,-0.18321967124939
"873",-0.500522494316101,0.180958867073059
"874",-0.403179585933685,-0.00257671810686588
"875",0.481447845697403,0.165199473500252
"876",0.477562844753265,0.19441594183445
"877",0.604375541210175,0.107297137379646
"878",-0.663269639015198,0.748380482196808
